lambda,size,i,mean_cluster_size,std_cluster_size
0.855,800,3,5094.9159,1024.3098623446915
0.855,800,4,4507.5942,802.2044554383837
0.855,800,5,4092.3276,663.3172122375885
0.855,850,1,8441.4204,2614.375947262215
0.855,850,2,6402.8896,1442.7830911528774
0.855,850,3,5426.5126,1020.395289726472
0.855,850,4,4817.3751,802.4938777600581
0.855,850,5,4367.8861,668.1448726764876
0.855,900,1,8481.143,2532.9697401511635
0.855,900,2,6484.8551,1441.4091572276925
0.855,900,3,5539.9407,1045.3722665639636
0.855,900,4,4948.5991,841.6538588404381
0.855,900,5,4512.6131,699.3924234538059
0.855,950,1,8709.7178,2498.3085952593756
0.855,950,2,6695.676,1423.5418165106123
0.855,950,3,5749.9027,1041.6904114582417
0.855,950,4,5149.7387,834.9201259904985
0.855,950,5,4710.1773,683.7459619762016
0.855,1000,1,8882.0484,2612.781243319076
0.855,1000,2,6848.3792,1460.2546907247172
0.855,1000,3,5917.5485,1086.4424891249262
0.855,1000,4,5306.5559,870.7728548890752
0.855,1000,5,4854.9906,734.4100446773666
0.855,1050,1,8942.3444,2467.8035170994744
0.855,1050,2,6966.2807,1418.368141536604
0.855,1050,3,6032.1308,1044.4980947413687
0.855,1050,4,5430.3646,846.7638221865031
0.855,1050,5,4995.0808,723.1393661844526
0.855,1100,1,9255.9798,2654.0175944275707
0.855,1100,2,7213.9527,1528.0015130637469
0.855,1100,3,6219.8648,1112.0635222183598
0.855,1100,4,5605.4258,904.0956182744492
0.855,1100,5,5159.5197,774.1622873381425
0.855,1150,1,9419.3323,2560.6771310365643
0.855,1150,2,7431.0138,1514.7904029951003
0.855,1150,3,6456.3932,1123.5312527212343
0.855,1150,4,5825.5267,913.2558326716016
0.855,1150,5,5365.6682,772.1447465726387
0.855,1200,1,9455.8637,2516.559498142868
0.855,1200,2,7494.7413,1464.7930054547596
0.855,1200,3,6553.9369,1087.7404689774005
0.855,1200,4,5941.6475,895.9197543666377
0.855,1200,5,5486.6948,767.5849681444344
0.855,1250,1,9717.827,2598.4855015106687
0.855,1250,2,7700.7516,1538.8108535429994
0.855,1250,3,6733.4968,1143.7198264845756
0.855,1250,4,6107.4124,934.3232205796292
0.855,1250,5,5645.2873,795.1291423372742
0.855,1300,1,9979.2585,2610.6804594442215
0.855,1300,2,7917.068,1517.6726063911217
0.855,1300,3,6934.1559,1125.1790621884986
0.855,1300,4,6306.0201,924.633747844386
0.855,1300,5,5832.3922,776.6233855399021
0.855,1350,1,10054.586,2650.92866993537
0.855,1350,2,8033.4349,1508.755877931187
0.855,1350,3,7059.2438,1135.0969839964637
0.855,1350,4,6418.2198,925.1344976120092
0.855,1350,5,5951.2634,797.9367751458468
0.865,200,1,21081.4481,1189.438919070948
0.865,200,2,226.4995,327.16836111305344
0.865,200,3,98.1379,102.2237978852058
0.865,200,4,59.9809,49.254186955864654
0.865,200,5,42.406,28.474845841278377
0.865,250,1,33022.3421,1515.635288352811
0.865,250,2,292.2856,334.1194136995052
0.865,250,3,134.7122,106.11481992003128
0.865,250,4,87.3168,58.2956660158165
0.865,250,5,64.3363,38.138663559120786
0.865,300,1,47684.6108,1737.5803365790152
0.865,300,2,350.5962,369.02767387821854
0.865,300,3,168.8352,120.91031209668236
0.865,300,4,114.3407,72.41509247437172
0.865,300,5,85.4869,47.45045187275135
0.865,350,1,64627.433,2206.371814397853
0.865,350,2,434.1852,426.1082643252212
0.865,350,3,216.9556,156.41093653177413
0.865,350,4,147.3626,85.71782355944168
0.865,350,5,112.385,57.59526974074912
0.865,400,1,85127.0509,2462.2422224845373
0.865,400,2,464.8241,396.9132055858898
0.865,400,3,242.126,157.34608829948812
0.865,400,4,166.3644,87.62709092139447
0.865,400,5,128.2826,60.581110458082826
0.865,450,1,107316.4286,2831.519620705074
0.865,450,2,564.4722,573.8971245947498
0.865,450,3,291.4189,190.8706016689007
0.865,450,4,203.6547,106.42624357949612
0.865,450,5,158.3027,72.75229042639297
0.865,500,1,131328.3393,3300.127247995189
0.865,500,2,666.9633,548.499124777878
0.865,500,3,352.258,212.90138312348648
0.865,500,4,247.4077,121.44624078023152
0.865,500,5,193.7564,83.19672847295655
0.865,550,1,159842.0563,3424.813697826165
0.865,550,2,684.6505,579.5784767146008
0.865,550,3,371.3024,214.1331577667632
0.865,550,4,266.3303,125.37937789265852
0.865,550,5,211.3861,88.26134393534537
0.865,600,1,190784.1011,3785.136956605306
0.865,600,2,745.2802,623.306854792632
0.865,600,3,404.7565,222.41599829009505
0.865,600,4,293.7995,130.41127562381627
0.865,600,5,233.6574,90.53304064475488
0.865,650,1,223036.4231,3959.8356672895775
0.865,650,2,812.1466,657.6552724293902
0.865,650,3,454.8696,247.4470779812931
0.865,650,4,331.7184,150.17639360551857
0.865,650,5,264.6963,103.49593811947751
0.865,700,1,259497.9116,4194.887153787429
0.865,700,2,869.1447,682.5654744598517
0.865,700,3,489.8635,258.3349460723156
0.865,700,4,359.6622,157.3717187964461
0.865,700,5,290.1171,108.16255776136283
0.865,750,1,297000.4599,4697.329980774432
0.865,750,2,920.8801,717.1090886807228
0.865,750,3,519.8558,266.0264701390474
0.865,750,4,382.8638,163.65026364304777
0.865,750,5,310.4702,115.92177663316666
0.865,800,1,338117.8147,5322.250953278224
0.865,800,2,994.2752,740.3459613445648
0.865,800,3,564.3471,286.22564303965385
0.865,800,4,419.0289,171.59562223596225
0.865,800,5,340.557,124.6863112720152
0.865,850,1,382913.962,5153.244084148264
0.865,850,2,1009.7508,755.4474894989718
0.865,850,3,586.6573,276.3418559300127
0.865,850,4,440.7523,176.24125692576715
0.865,850,5,359.0805,126.16569342721418
0.865,900,1,429073.568,5445.251659137357
0.865,900,2,1056.4694,743.5104576559124
0.865,900,3,619.6361,292.6080590558169
0.865,900,4,465.178,180.0102938350711
0.865,900,5,381.258,128.48067311598436
0.865,950,1,477543.9601,6219.74349244494
0.865,950,2,1135.9852,815.3032235405375
0.865,950,3,668.5889,325.06962657714166
0.865,950,4,505.0446,198.33465222766145
0.865,950,5,414.5192,137.65978153732954
0.865,1000,1,529264.4817,5750.783038109257
0.865,1000,2,1170.4354,841.9212585315784
0.865,1000,3,694.929,317.34109109254916
0.865,1000,4,526.6043,199.74517299530288
0.865,1000,5,433.806,143.08446554545344
0.865,1050,1,583591.6145,6529.106501602721
0.865,1050,2,1224.5627,849.424342269536
0.865,1050,3,732.0202,332.1705873822548
0.865,1050,4,557.657,207.01695329826327
0.865,1050,5,459.7621,148.5921635440331
0.865,1100,1,641196.0505,6915.4567670530405
0.865,1100,2,1238.6413,808.4830937784676
