L,lambda,R_any_mean,R_x_mean,R_y_mean
100,0.861128,0.6506328,0.4671447,0.4914771
100,0.861129,0.6511908,0.4675113,0.4920316
100,0.86113,0.6510533,0.467652,0.4917164
100,0.861131,0.6522337,0.4683313,0.4932856
100,0.861132,0.6528846,0.4692377,0.4935493
100,0.861133,0.6492607,0.4659863,0.4896381
100,0.861134,0.6516103,0.4678078,0.4924649
100,0.861135,0.6517006,0.4680308,0.4926174
100,0.861136,0.6522183,0.4685499,0.4928253
100,0.861137,0.6513727,0.4678862,0.4918925
100,0.861138,0.6527372,0.4691325,0.4934689
100,0.861139,0.6537791,0.4702352,0.494555
100,0.86114,0.6518835,0.468863,0.4922047
100,0.861141,0.6533462,0.4704852,0.4934642
100,0.861142,0.6559139,0.4723624,0.4963555
100,0.861143,0.6547213,0.4712775,0.4953372
100,0.861144,0.6564036,0.4724288,0.4974453
100,0.861145,0.6571887,0.4731419,0.4976199
100,0.861146,0.6583977,0.4741003,0.4993154
100,0.861147,0.6541407,0.4698512,0.4949326
100,0.861148,0.6559466,0.4719108,0.4972611
100,0.861149,0.6562385,0.4730948,0.4967607
100,0.86115,0.6567994,0.4733829,0.4969684
100,0.861151,0.6555982,0.472352,0.4962764
100,0.861152,0.6558238,0.4719147,0.4961965
100,0.861153,0.656539,0.4730304,0.4971387
100,0.861154,0.6549508,0.4715943,0.4957497
100,0.861155,0.6564297,0.4736447,0.4967471
100,0.861156,0.6579198,0.4746178,0.4983329
100,0.861157,0.6565721,0.4726147,0.4967523
100,0.861158,0.6581298,0.4747504,0.4985097
100,0.861159,0.6549198,0.4713611,0.4960789
100,0.86116,0.6559756,0.4720344,0.4967496
100,0.861161,0.6574924,0.4744458,0.4977117
100,0.861162,0.6576643,0.4734562,0.498152
100,0.861163,0.6570431,0.4729328,0.4976628
100,0.861164,0.6550368,0.4714774,0.4960343
100,0.861165,0.6574179,0.4743012,0.4979032
100,0.861166,0.6586589,0.4756874,0.4987292
100,0.861167,0.6566086,0.4731408,0.496948
100,0.861168,0.6576148,0.4738867,0.4984864
100,0.861169,0.6560548,0.4725406,0.4966852
100,0.86117,0.657126,0.4734724,0.4977949
100,0.861171,0.6576865,0.4740519,0.4985891
100,0.861172,0.6576248,0.4737416,0.498479
100,0.861173,0.6572507,0.4735518,0.4979356
100,0.861174,0.6575793,0.4737159,0.4980203
100,0.861175,0.6575745,0.4740951,0.4978936
100,0.861176,0.6575919,0.4736205,0.4982572
100,0.861177,0.6582658,0.4747558,0.498454
100,0.861178,0.657941,0.4742692,0.4986956
100,0.861179,0.6586398,0.4739786,0.4995748
100,0.86118,0.6588545,0.4749755,0.4993145
100,0.861181,0.6593082,0.475154,0.4999273
100,0.861182,0.6591506,0.474918,0.5001048
100,0.861183,0.657979,0.4751332,0.4983758
100,0.861184,0.6581206,0.4742385,0.4988586
100,0.861185,0.6591632,0.4746627,0.5001018
100,0.861186,0.6585737,0.4750335,0.4989091
100,0.861187,0.6585681,0.4746604,0.4985392
100,0.861188,0.6589051,0.4744739,0.4998577
100,0.861189,0.6598765,0.474931,0.5011471
100,0.86119,0.6586464,0.4749961,0.4994331
100,0.861191,0.6598772,0.4760964,0.5003922
100,0.861192,0.6591459,0.4753841,0.4998889
100,0.861193,0.6610853,0.4766162,0.5021148
100,0.861194,0.6600695,0.4760789,0.5009246
100,0.861195,0.6630456,0.4783956,0.5037893
100,0.861196,0.6614655,0.4768907,0.5017586
100,0.861197,0.6636071,0.4787976,0.5046724
100,0.861198,0.6614301,0.4776893,0.5018557
100,0.861199,0.6636449,0.4796801,0.5039935
100,0.8612,0.6635612,0.479039,0.5041275
100,0.861201,0.6634392,0.4793742,0.5036882
100,0.861202,0.6632205,0.4784056,0.5040693
100,0.861203,0.6620592,0.4774698,0.5026786
100,0.861204,0.6627688,0.478305,0.5041645
100,0.861205,0.654569,0.4709246,0.4952757
100,0.861206,0.6560288,0.4721647,0.4968542
100,0.861207,0.6518783,0.4687408,0.4918294
100,0.861208,0.6526102,0.4687155,0.4935039
100,0.861209,0.6532885,0.4700943,0.4945183
100,0.86121,0.6548526,0.4721715,0.4945771
100,0.861211,0.6580916,0.4748781,0.4980864
100,0.861212,0.6565243,0.4732112,0.4973172
100,0.861213,0.6584766,0.4746011,0.4987692
100,0.861214,0.6593917,0.4754538,0.4997411
100,0.861215,0.6582722,0.4744504,0.498813
100,0.861216,0.6576633,0.4738769,0.4979981
100,0.861217,0.6585864,0.4744186,0.4993064
100,0.861218,0.6582399,0.4752403,0.4981921
100,0.861219,0.6570561,0.4733998,0.497688
100,0.86122,0.6578786,0.4742595,0.4990214
100,0.861221,0.6563742,0.4725365,0.4975476
100,0.861222,0.6554512,0.4723125,0.4961759
100,0.861223,0.657109,0.4730627,0.4983732
100,0.861224,0.6598159,0.4761948,0.5000433
100,0.861225,0.6608471,0.4763314,0.5012335
100,0.861226,0.6625478,0.4789283,0.5029589
100,0.861227,0.6646876,0.4792658,0.5061512
100,0.861228,0.6666457,0.4830891,0.5064965
100,0.861229,0.6675533,0.4828812,0.5080981
100,0.86123,0.6673486,0.4830708,0.5074119
100,0.861231,0.667452,0.4834157,0.5078647
100,0.861232,0.6679026,0.4834793,0.5082536
100,0.861233,0.6679617,0.4837947,0.5083376
100,0.861234,0.6663789,0.4826598,0.5073867
100,0.861235,0.6676439,0.4835659,0.5083974
100,0.861236,0.6687802,0.4845498,0.5090375
100,0.861237,0.6685391,0.4844144,0.5083691
100,0.861238,0.6722118,0.4869903,0.5125476
100,0.861239,0.6709335,0.4868572,0.5117252
100,0.86124,0.6726385,0.4884293,0.5124839
100,0.861241,0.6736277,0.4887941,0.5142367
100,0.861242,0.6742171,0.490291,0.5141243
100,0.861243,0.6799538,0.495311,0.5209392
100,0.861244,0.6812784,0.4964953,0.5217155
100,0.861245,0.6811581,0.4957152,0.5214355
100,0.861246,0.6810385,0.4959836,0.5213203
100,0.861247,0.6809831,0.4961126,0.5211932
100,0.861248,0.6816245,0.49741,0.5218824
100,0.861249,0.6815615,0.4963451,0.5220693
100,0.86125,0.680699,0.4957448,0.521483
100,0.861251,0.680876,0.496547,0.5213423
100,0.861252,0.6816276,0.4961524,0.5223632
100,0.861253,0.6805385,0.4957222,0.5209859
100,0.861254,0.6806544,0.4962231,0.5210599
100,0.861255,0.6818474,0.4970504,0.5224204
100,0.861256,0.6838752,0.4989992,0.5245416
100,0.861257,0.6831754,0.4983429,0.523848
100,0.861258,0.6841376,0.4994289,0.5245694
100,0.861259,0.6809131,0.4963382,0.521357
100,0.86126,0.6828795,0.4977795,0.5235293
100,0.861261,0.6829285,0.497802,0.5228666
100,0.861262,0.6824178,0.497316,0.5229646
100,0.861263,0.6819092,0.4969098,0.522739
100,0.861264,0.6839906,0.4995062,0.5245553
100,0.861265,0.68331,0.4981581,0.5241368
100,0.861266,0.6836212,0.4989756,0.5235073
100,0.861267,0.6828437,0.4980869,0.5237662
100,0.861268,0.6826921,0.498183,0.5235925
100,0.861269,0.6831661,0.4988837,0.5228428
100,0.86127,0.6835835,0.4990037,0.5236526
100,0.861271,0.6821313,0.4968799,0.5228863
100,0.861272,0.682847,0.4974839,0.5236481
100,0.861273,0.6831792,0.4991365,0.5226922
100,0.861274,0.683456,0.4984485,0.523924
100,0.861275,0.6830363,0.4979808,0.5234593
100,0.861276,0.6837165,0.4989039,0.5235777
100,0.861277,0.6834873,0.4977823,0.5241039
100,0.861278,0.6834397,0.4981813,0.5247904
100,0.861279,0.6827597,0.4980989,0.522608
100,0.86128,0.6820284,0.4973484,0.522026
100,0.861281,0.6816909,0.4970028,0.5220553
