lambda,A_mean,A_std,A_count,A_se,chi,chi_se,chi_std,S1_mean,S1_std
0.82,0.9749005658133824,0.0004141286072324,10000.0,4.1412860723245465e-06,1.7148535325084424e-07,2.4255329415572294e-09,2.4255329415572293e-07,0.000254480934143,4.6303125933141384e-05
0.8200999999999999,0.97480381199042,0.0004113571291222,10000.0,4.1135712912225164e-06,1.6919776635315745e-07,2.3931767245214504e-09,2.3931767245214505e-07,0.0002585736274719,4.652254484484027e-05
0.8201999999999999,0.9745699119838078,0.0004061170787074,10000.0,4.061170787074688e-06,1.6491458876277679e-07,2.3325943574425773e-09,2.3325943574425773e-07,0.0002600037574768,4.6617002045824235e-05
0.8202999999999999,0.9741474429178238,0.0004110760923832,10000.0,4.110760923832518e-06,1.689666553339464e-07,2.389907833395932e-09,2.3899078333959317e-07,0.0002696430206298,5.0675553762476546e-05
0.8203999999999999,0.9738101671934128,0.0003888120460286,10000.0,3.8881204602863354e-06,1.5115968965417895e-07,2.1380415301716253e-09,2.1380415301716253e-07,0.0002677247047424,4.975811134077213e-05
0.8204999999999999,0.9736657327651976,0.0004355207161243,10000.0,4.35520716124378e-06,1.8965932635506277e-07,2.6825902939475493e-09,2.682590293947549e-07,0.0002699074745178,4.8027602676722214e-05
0.8205999999999999,0.9729366232776642,0.0004279805057122,10000.0,4.279805057122398e-06,1.8314899652427385e-07,2.5905065146586042e-09,2.590506514658604e-07,0.0002764963150024,4.947289033348359e-05
0.8206999999999999,0.9724041528828938,0.000470614710206,10000.0,4.7061471020607345e-06,2.2145605771406454e-07,3.132331439836655e-09,3.132331439836655e-07,0.0002848631858825,5.2677155620901294e-05
0.8207999999999999,0.9720600833320616,0.0004288471981205,10000.0,4.288471981205737e-06,1.8389152833808708e-07,2.601009075502443e-09,2.601009075502443e-07,0.000285125541687,5.1603586095567885e-05
0.8208999999999999,0.9717002576526008,0.0004504260022667,10000.0,4.5042600226676325e-06,2.028632949402365e-07,2.869350625058479e-09,2.869350625058479e-07,0.0002911707878112,5.295082656285724e-05
0.8209999999999998,0.9710959166415531,0.0004622791784849,10000.0,4.62279178484907e-06,2.136806686037218e-07,3.022354338130604e-09,3.022354338130604e-07,0.0002925872802734,4.9548614538256655e-05
0.8210999999999998,0.970727790869077,0.0004892626849539,10000.0,4.892626849539314e-06,2.393540371459224e-07,3.385485064690126e-09,3.3854850646901263e-07,0.0003041551589965,5.50193757247394e-05
0.8211999999999998,0.9704467730251948,0.0004684754804992,10000.0,4.684754804992751e-06,2.194473288641419e-07,3.103919463869399e-09,3.103919463869399e-07,0.0003057473182678,5.740094817557216e-05
0.8212999999999998,0.9700553962961832,0.0005103451176393,10000.0,5.103451176393717e-06,2.604260940231029e-07,3.683533655907064e-09,3.683533655907064e-07,0.0003086928367614,5.754259475457705e-05
0.8213999999999998,0.9696867026599248,0.0004930568057578,10000.0,4.9305680575782e-06,2.4308070345480104e-07,3.4381959887098147e-09,3.4381959887098147e-07,0.0003160646438598,5.979019811857302e-05
0.8214999999999998,0.9694566400575636,0.0004899430184046,10000.0,4.899430184046829e-06,2.400201569718874e-07,3.3949068341414344e-09,3.3949068341414344e-07,0.0003140593528747,5.8499675224156e-05
0.8215999999999998,0.9691840499655404,0.0005105753894604,10000.0,5.105753894604617e-06,2.6066115965672765e-07,3.6868584858472662e-09,3.686858485847266e-07,0.0003196195602416,5.805328209720202e-05
0.8216999999999998,0.9689581459379196,0.0004919631094195,10000.0,4.919631094195735e-06,2.420034985739506e-07,3.422959724928047e-09,3.422959724928047e-07,0.0003229351997375,5.658812799076899e-05
0.8217999999999998,0.9686344993050894,0.0005024166773732,10000.0,5.024166773732819e-06,2.523972753021298e-07,3.5699719828985773e-09,3.569971982898577e-07,0.0003254642486572,5.875851716513736e-05
0.8218999999999997,0.9683175416501364,0.0005378970663865,10000.0,5.378970663865391e-06,2.8930432083296154e-07,4.091994723760133e-09,4.091994723760133e-07,0.0003299964904785,6.21324896588474e-05
0.8219999999999997,0.968300954058965,0.0005137564280404,10000.0,5.137564280404085e-06,2.639192729914086e-07,3.73294207677028e-09,3.73294207677028e-07,0.0003293696403503,6.221585491362088e-05
0.8220999999999997,0.9676769548940658,0.0005748661003031,10000.0,5.748661003031242e-06,3.304379861956974e-07,4.673799868163993e-09,4.673799868163993e-07,0.0003344188690185,6.267929239286384e-05
0.8221999999999997,0.9672726135349274,0.0005986709017702,10000.0,5.9867090177025696e-06,3.583710076471292e-07,5.068891712670801e-09,5.068891712670801e-07,0.0003413867950439,6.330010285634592e-05
0.8222999999999997,0.9669315950139364,0.0005125371494428,10000.0,5.125371494428456e-06,2.626680598583065e-07,3.715244603082864e-09,3.715244603082864e-07,0.0003384040832519,6.007802602563498e-05
0.8223999999999997,0.966341974693934,0.0005736403261476,10000.0,5.736403261476343e-06,3.290303177694298e-07,4.6538894398076254e-09,4.6538894398076255e-07,0.000352488040924,6.526262172999445e-05
0.8224999999999997,0.965583596350352,0.00055838143111,10000.0,5.58381431110002e-06,3.117586435674724e-07,4.409594442662171e-09,4.409594442662171e-07,0.0003589305877685,6.348789371814521e-05
0.8225999999999997,0.9649745856539408,0.0005756649526072,10000.0,5.756649526072439e-06,3.313569988394605e-07,4.686798616948475e-09,4.6867986169484755e-07,0.0003702047348022,6.961648366984358e-05
0.8226999999999997,0.9644706982962292,0.0006106607776109,10000.0,6.106607776109968e-06,3.728692945514922e-07,5.273959209024539e-09,5.273959209024539e-07,0.0003703152656555,7.002996736246622e-05
0.8227999999999996,0.9637945982789994,0.0005562529193842,10000.0,5.562529193842051e-06,3.0938636841337797e-07,4.376040374413334e-09,4.376040374413334e-07,0.0003819214820861,7.32716759744303e-05
0.8228999999999996,0.9632259082984924,0.0006351482225395,10000.0,6.3514822253955046e-06,4.033729231744943e-07,5.7054103779676934e-09,5.705410377967694e-07,0.0003892201423645,7.506028957696134e-05
0.8229999999999996,0.9627029007371266,0.0006396301426582,10000.0,6.396301426582441e-06,4.090858068961367e-07,5.786214870981251e-09,5.786214870981251e-07,0.0003938185691833,7.224495526674434e-05
0.8230999999999996,0.9623235554440815,0.0006436439854174,10000.0,6.436439854174106e-06,4.142361521575211e-07,5.859062682180346e-09,5.859062682180346e-07,0.0004021574020385,7.914018577947704e-05
0.8231999999999996,0.9626251046911876,0.0006029947132079,10000.0,6.029947132079681e-06,3.6356626376132795e-07,5.142374749135113e-09,5.142374749135113e-07,0.0003975611686706,7.54401929769572e-05
0.8232999999999996,0.9621652308511732,0.0006575901252388,10000.0,6.575901252388353e-06,4.32381530579562e-07,6.115715577586979e-09,6.115715577586979e-07,0.0004032341003417,7.427604092985897e-05
