lambda,size,i,mean_cluster_size,std_cluster_size
0.860545,750,2,27989.3246,17310.346446707685
0.860545,750,3,14498.9408,8968.972587683787
0.860545,750,4,9277.9418,5618.183208321795
0.860545,750,5,6602.0093,3913.602184384518
0.860545,800,1,136735.5085,50001.242346915256
0.860545,800,2,32259.2275,19977.961273743855
0.860545,800,3,16458.9372,10488.852512966329
0.860545,800,4,10515.0447,6587.0299072800535
0.860545,800,5,7453.0231,4528.154293539146
0.860545,850,1,150131.3885,54774.4721316664
0.860545,850,2,36034.389,21917.622934027015
0.860545,850,3,18351.5742,11266.641959181892
0.860545,850,4,11808.247,7169.722137680382
0.860545,850,5,8448.3281,4955.797046196171
0.860545,900,1,160719.8395,60390.50502528739
0.860545,900,2,40696.4974,23959.678114234488
0.860545,900,3,21316.5532,12785.750345402465
0.860545,900,4,13714.9028,8054.102546946855
0.860545,900,5,9855.4753,5604.708732198953
0.860545,950,1,177442.8941,67220.67957418706
0.860545,950,2,45347.0664,25959.135187689903
0.860545,950,3,23931.1856,13877.513032000654
0.860545,950,4,15459.9335,8847.954082262293
0.860545,950,5,11110.8758,6275.116454220254
0.860545,1000,1,188445.7744,72001.93294245267
0.860545,1000,2,51278.2299,28686.217651069976
0.860545,1000,3,27112.0579,15405.187954067213
0.860545,1000,4,17416.8913,9737.707318741248
0.860545,1000,5,12506.7957,6848.909904842521
0.860545,1050,1,206369.1007,79932.07333073913
0.860545,1050,2,54706.3088,30404.016296110225
0.860545,1050,3,29460.524,16666.590114244354
0.860545,1050,4,19196.9152,10708.465805520404
0.860545,1050,5,13876.2079,7560.754648972798
0.860545,1100,1,222586.4953,86929.5480586086
0.860545,1100,2,59897.1576,33093.96431362918
0.860545,1100,3,32022.5619,17763.24581545722
0.860545,1100,4,21147.2672,11679.62944437879
0.860545,1100,5,15336.5734,8219.635571392755
0.860545,1150,1,235768.767,96876.21641329188
0.860545,1150,2,66204.4408,35559.909093480106
0.860545,1150,3,35865.8741,19683.91415862479
0.860545,1150,4,23534.9716,12904.61485392905
0.860545,1150,5,17059.6958,9218.398137631328
0.860545,1200,1,253426.1826,102331.04454680048
0.860545,1200,2,72188.1501,38502.13924005751
0.860545,1200,3,39136.5841,21254.27993254705
0.860545,1200,4,25643.0703,13867.799404202147
0.860545,1200,5,18583.2693,9902.175556899278
0.860545,1250,1,264692.452,106583.5296854505
0.860545,1250,2,78350.2327,40657.66282574535
0.860545,1250,3,42871.9741,22587.70149350538
0.860545,1250,4,28286.0563,14887.534185886656
0.860545,1250,5,20609.2937,10616.884419824806
0.860545,1300,1,277089.4685,114205.32626549232
0.860545,1300,2,84707.6242,42487.95784324004
0.860545,1300,3,47092.9853,24049.33102273633
0.860545,1300,4,31217.815,15904.430515016113
0.860545,1300,5,22823.3027,11447.071595167175
0.860545,1350,1,283498.5766,120157.29733622695
0.860545,1350,2,90866.1685,43960.59808748658
0.860545,1350,3,51426.603,25147.25139660936
0.860545,1350,4,34518.4762,16831.468018363666
0.860545,1350,5,25370.6415,12287.205100733709
0.86055,200,1,12629.1555,3587.135593575523
0.86055,200,2,1707.2696,1478.119559054316
0.86055,200,3,758.1007,675.652988786134
0.86055,200,4,447.1871,382.82368642898666
0.86055,200,5,301.6072,250.75792083530712
0.86055,250,1,19698.1214,5154.684641686394
0.86055,250,2,2648.6702,2340.096173331772
0.86055,250,3,1150.6421,1037.048829146918
0.86055,250,4,672.426,577.3562972319565
0.86055,250,5,452.7371,362.88468872814315
0.86055,300,1,26782.5101,7388.462930498168
0.86055,300,2,3950.9789,3287.0350527182654
0.86055,300,3,1769.079,1471.063726086542
0.86055,300,4,1076.4364,863.3944897667207
0.86055,300,5,744.8929,569.4507866790905
0.86055,350,1,35775.2437,9612.607298741488
0.86055,350,2,5307.7523,4317.590793506342
0.86055,350,3,2406.3992,1951.7942698774768
0.86055,350,4,1463.2669,1129.5536409605215
0.86055,350,5,1018.8863,732.4184540626316
0.86055,400,1,42680.0235,13187.78641839522
0.86055,400,2,7692.5986,5780.4179240445665
0.86055,400,3,3599.4583,2745.388320140513
0.86055,400,4,2209.8653,1650.4254544128817
0.86055,400,5,1529.2656,1078.7392566765286
0.86055,450,1,51657.4224,16358.45283070742
0.86055,450,2,9849.4153,7083.871911373863
0.86055,450,3,4731.1088,3385.438753561785
0.86055,450,4,2919.25,2048.3021715261125
0.86055,450,5,2032.4366,1371.4067697927055
0.86055,500,1,62436.7142,20387.069032293257
0.86055,500,2,11987.7874,8425.92818556983
0.86055,500,3,5832.0651,4137.814371819929
0.86055,500,4,3655.5559,2520.869807255762
0.86055,500,5,2575.3353,1713.410385981417
0.86055,550,1,74306.2736,24562.36310231693
0.86055,550,2,14295.0344,9916.975778687582
0.86055,550,3,7024.9356,4923.849898345276
0.86055,550,4,4454.69,3040.869992540154
0.86055,550,5,3173.15,2104.4383553763596
0.86055,600,1,85767.1439,28927.199111355992
0.86055,600,2,17372.5201,11723.853594544184
0.86055,600,3,8667.9696,5923.316289973291
0.86055,600,4,5394.7875,3549.6936530701932
0.86055,600,5,3849.5358,2440.7993390403285
0.86055,650,1,98269.6557,34182.567977694605
0.86055,650,2,20821.8952,13912.297447368042
0.86055,650,3,10303.0741,6962.179223430198
0.86055,650,4,6506.9775,4353.888965776043
0.86055,650,5,4606.2324,3027.7942542707324
0.86055,700,1,113662.0006,38650.478350337005
0.86055,700,2,23541.5962,15830.100064824348
0.86055,700,3,11589.1624,7794.7004460807
0.86055,700,4,7408.8801,4847.5324843927265
0.86055,700,5,5273.6635,3291.2702630234085
0.86055,750,1,124374.9798,43535.514819366144
0.86055,750,2,28028.2458,17965.23941784569
0.86055,750,3,14018.4866,8991.402265080218
0.86055,750,4,8930.0102,5595.444078456997
0.86055,750,5,6350.7854,3852.847983544805
0.86055,800,1,140180.8848,49190.75457195045
0.86055,800,2,30982.7389,19693.037795898577
0.86055,800,3,15657.269,10041.395831977963
0.86055,800,4,10017.6976,6305.888372875891
0.86055,800,5,7178.763,4420.044981897266
0.86055,850,1,146917.7029,54168.505955798515
0.86055,850,2,36355.5238,21666.435292485516
0.86055,850,3,18760.0545,11319.01630682389
0.86055,850,4,12035.7396,7182.818029706491
0.86055,850,5,8586.1779,4905.626213696519
0.86055,900,1,163480.8816,61372.95711220744
0.86055,900,2,40428.9461,23808.116600814996
0.86055,900,3,21118.3703,12625.231341215886
0.86055,900,4,13673.4979,8173.78946890754
0.86055,900,5,9734.4308,5703.620378071552
0.86055,950,1,177646.2159,67891.37808128411
0.86055,950,2,44857.4093,25844.551427545084
0.86055,950,3,23704.6229,13890.713010975747
0.86055,950,4,15399.7372,8980.505013225338
