lambda,second_max_cluster_size_mean,second_max_cluster_size_std,third_max_cluster_size_mean,third_max_cluster_size_std,fourth_max_cluster_size_mean,fourth_max_cluster_size_std,fifth_max_cluster_size_mean,fifth_max_cluster_size_std
0.8500999999999993,0.0033081851005554,0.0006147246227344,0.0029253177642822,0.0004574290908615,0.0026769081115722,0.0003745690682145,0.0024930507659912,0.0003208833435257
0.8501999999999993,0.0033725750923156,0.0006168294836647,0.0029781689643859,0.0004706261838515,0.0027192049026489,0.0003903143610745,0.0025320220947265,0.0003353499321403
0.8502999999999993,0.003369555568695,0.0006207841531522,0.0029689823150634,0.0004610368505889,0.0027139009475708,0.00037045333919,0.0025317551612854,0.000321722989781
0.8503999999999993,0.0033672537803649,0.0006218510696776,0.0029830563545227,0.0004677307181984,0.0027311329841613,0.0003840302610933,0.0025451821327209,0.0003282895339204
0.8504999999999993,0.0033333112716674,0.0005858599408042,0.0029585859298706,0.0004476083695209,0.0027091039657592,0.0003632139312854,0.0025247345924377,0.0003154644825126
0.8505999999999992,0.0033632150650024,0.0006098436735128,0.0029782907485961,0.0004609204120823,0.002720458984375,0.000370776067163,0.0025391538619995,0.0003204091649432
0.8506999999999992,0.003372252368927,0.000616303170581,0.0029785711288452,0.0004578013179344,0.0027284528732299,0.0003787074229684,0.0025459581375122,0.0003231600691312
0.8507999999999992,0.0034120927810668,0.0006187186711241,0.0030158288002014,0.0004663925934523,0.0027581314086914,0.0003849903624009,0.0025717199325561,0.0003321871664346
0.8508999999999992,0.0034143877029418,0.0006309657293218,0.0030064478874206,0.0004619569612236,0.0027493741989135,0.000385413944506,0.0025637655258178,0.0003344581669731
0.8509999999999992,0.0034472551345825,0.000636758948462,0.003042305278778,0.000488410823939,0.0027809610366821,0.0004016787295673,0.0025874781608581,0.0003407754484406
0.8510999999999992,0.003420461654663,0.0006355716457174,0.0030197686195373,0.0004765338300537,0.0027604550361633,0.0003902061250275,0.0025719309806823,0.000334282529164
0.8511999999999992,0.0034257990837097,0.0006223809630573,0.0030383005142211,0.0004781602229208,0.0027827726364135,0.0004019357670457,0.0025912535667419,0.000344695178912
0.8512999999999992,0.0034967329978942,0.0006544021911679,0.0030888279914855,0.0004911569575727,0.0028214995384216,0.0004041789658446,0.0026224064826965,0.0003484361453674
0.8513999999999992,0.0034292331695556,0.0006154936082521,0.003034492111206,0.0004685905009992,0.0027756640434265,0.0003853162479338,0.0025858342170715,0.0003299966723428
0.8514999999999991,0.0034398612976074,0.0006445332459322,0.0030470766067504,0.0004876425444804,0.0027919072151184,0.0004017591509426,0.0026018867492675,0.000344022698464
0.8515999999999991,0.0034159259796142,0.0006232714580872,0.0030160593986511,0.0004515263548655,0.0027597400665283,0.000368239058377,0.0025759979248046,0.000318276110795
0.8516999999999991,0.0034566037178039,0.000634141604047,0.0030558844566345,0.0004875897992711,0.0027920079231262,0.0003964528446533,0.0025989288330078,0.0003435944156626
0.8517999999999991,0.0034975859642028,0.000642364699716,0.0030835255622863,0.0004745249111637,0.0028157104492187,0.0003866321141044,0.0026195099830627,0.0003312151085713
0.8518999999999991,0.0034880801200866,0.0006418055173279,0.003082331752777,0.0004821711612641,0.0028213416099548,0.0003971002865552,0.0026237416267395,0.0003392861888127
0.8519999999999991,0.0035441911697387,0.0006377651671818,0.0031153942108154,0.000481452523936,0.0028430736541748,0.0003964104336584,0.0026436418533325,0.0003396349602077
0.8520999999999991,0.003495750427246,0.0006454455139809,0.0030933791160583,0.0004827763909035,0.0028300331115722,0.0004003182669289,0.002641106891632,0.000344967205241
0.8521999999999991,0.0035098633766174,0.0006450162852309,0.0030943110466003,0.0004826178606976,0.0028317173957824,0.0004018677552262,0.0026305996894836,0.0003372892445752
0.8522999999999991,0.0034921673774719,0.000645388522664,0.0030929122924804,0.0004890558947445,0.0028288596153259,0.0003996626440923,0.0026339573860168,0.0003420356946886
0.852399999999999,0.0034953654289245,0.0006447860034109,0.0030969134330749,0.0004873592679246,0.0028379035949707,0.0004050339293082,0.0026405068397521,0.0003453635580794
0.852499999999999,0.0035387546539306,0.0006432007790927,0.0031260909080505,0.0004875737059861,0.0028556963920593,0.0004034211476753,0.0026596105575561,0.0003461146418881
0.852599999999999,0.0035788926124572,0.0006709057769071,0.003158259487152,0.0004995752100379,0.0028896787643432,0.0004085287132685,0.0026871068000793,0.0003495421464569
0.852699999999999,0.0036141622543334,0.0006585887830062,0.0031913095474243,0.0004925317118268,0.002918950176239,0.000405574908098,0.0027197611808776,0.0003460620443215
0.852799999999999,0.0036703831672668,0.0006957624884513,0.0032233036994934,0.0005148538732793,0.002944851398468,0.0004213988599364,0.0027426034927368,0.0003620765101483
0.852899999999999,0.0036724175453186,0.0006679785191599,0.0032496526718139,0.000509648974829,0.0029711522102355,0.0004219431119035,0.0027588717460632,0.0003640376517986
0.852999999999999,0.0037480748176574,0.0006888268010491,0.0033109496116638,0.0005229331598827,0.0030262643814086,0.0004306805393973,0.0028106307983398,0.0003706218305696
0.853099999999999,0.003764575767517,0.0007045022925229,0.0033138072013854,0.0005279020885937,0.0030213373184204,0.0004219365484601,0.002809052658081,0.000361512583036
0.853199999999999,0.0037758377075195,0.000725567145726,0.003319434928894,0.0005401065747068,0.0030264371871948,0.0004367255718261,0.0028144457817077,0.0003745063478686
0.853299999999999,0.0038183146476745,0.0007082093361864,0.0033601619720458,0.000529134177677,0.0030683194160461,0.0004342609458841,0.002855803489685,0.0003714691007485
0.8533999999999989,0.0038802426338195,0.0007361217985234,0.0034027309417724,0.0005545843296131,0.003105163192749,0.0004541183683681,0.0028882489204406,0.0003927965161695
0.8534999999999989,0.0038761213302612,0.0007159947788661,0.0034226983070373,0.0005337289540157,0.0031222360610961,0.0004396425076772,0.0029012434959411,0.0003745582574347
0.8535999999999989,0.0040704641342163,0.0007624122694275,0.0035898180961608,0.0005727563938541,0.0032783826828002,0.0004734442306182,0.003044969177246,0.0004055249860816
0.8536999999999989,0.0042131114959716,0.0007928241352549,0.0037037490844726,0.0005865505819873,0.0033791702270507,0.0004840928185271,0.0031374875068664,0.0004144559666665
0.8537999999999989,0.004391461277008,0.0008391075556171,0.0038424614906311,0.0006121761750495,0.0034956278800964,0.0005037043522881,0.0032385692596435,0.000430832720645
0.8538999999999989,0.0045262910842895,0.000904601928095,0.0039547746658325,0.0006712861022107,0.0035962616920471,0.000550597175164,0.0033297776222229,0.0004704056634915
0.8539999999999989,0.0046202390670776,0.0009008865242178,0.004049127960205,0.0006723479695546,0.0036798656463623,0.0005452910443493,0.0034088488578796,0.0004649367273793
0.8540999999999989,0.0046298624038696,0.0009087955467231,0.0040521893501281,0.0006840718762796,0.0036840033531188,0.0005657810972018,0.0034088380813598,0.0004845787818069
0.8541999999999988,0.0046993498802185,0.0008961510986936,0.0041235771179199,0.0006859022196907,0.0037424023628234,0.000560897956829,0.0034676845550537,0.0004857600070964
0.8542999999999988,0.0047528751373291,0.0009190215419314,0.0041587487220764,0.000676259983646,0.003783791732788,0.0005619701150805,0.0034999555587768,0.0004817899499112
0.8543999999999988,0.0049186042785644,0.0009488878831184,0.0043052853584289,0.0007191507129717,0.0039132188796997,0.0005922307279151,0.0036189760208129,0.0004999434656809
0.8544999999999988,0.0051166015625,0.0010159265726138,0.0044495213508605,0.0007489627046024,0.0040244163513183,0.0006128522591192,0.0037157578468322,0.0005243665358281
0.8545999999999988,0.0054700238227844,0.0011089483578758,0.0047655999183654,0.0008196548802492,0.0043042564392089,0.0006630080984271,0.0039685284614562,0.0005655577978386
0.8546999999999988,0.0059139000892639,0.0012096322845653,0.0051205357551574,0.0009088037403395,0.0046006476402282,0.0007169589771524,0.0042307357788085,0.0006149498827157
